start_sec,end_sec,gesture_magnitude_val,gesture_magnitude_score,gesture_activity_val,gesture_activity_score,gesture_jitter_val,gesture_jitter_score,body_sway_val,body_sway_score,posture_openness_val,posture_openness_score
22,27,2.600833986624474,0.14976991815977458,0.09372287793718148,0.7762518206410631,0.006506209393673024,0.3892162534655417,0.020410784878599705,0.3793358790130056,179.9999997870037,0.43494337894925267
23,28,2.4047245989187678,0.48637112205648825,0.10043961281275025,0.3925561187355567,0.0074480676457119215,0.26714572749138,0.022144503923991508,0.2873444112841413,179.9999997956763,0.4916693182173017
24,29,2.412831143576668,0.46842170760862656,0.09968202021540944,0.4331568125191027,0.007457762084446024,0.2660216953332167,0.023196783683827073,0.23852621278229755,179.9999997928978,0.4734013836199094
25,30,2.2857897884848364,0.756535444711138,0.09649055706693188,0.6174725613093132,0.00698784255955573,0.32382953424174504,0.024877538784187664,0.17307080610121714,179.99999978618993,0.429684153644475
26,31,2.2158396836992567,0.8911055101087338,0.080967366795816,0.8672626733068938,0.005110900746491919,0.5931116674724349,0.023965348183958377,0.20666142875868257,179.9999997981473,0.5079356008954217
27,32,2.151339656483031,0.9729543534142597,0.07812830546907747,0.7198069078142741,0.0052089676356166376,0.5790044437218328,0.0210250184667683,0.3453068710313208,179.9999998277573,0.6924280736588104
28,33,2.026057044943596,0.9707436865492675,0.08676596644859787,0.9994729675156222,0.0067585822655891505,0.3542816803873422,0.021808265800496603,0.30414272842809914,179.99999984673005,0.7877011143711506
29,34,1.9529316186288133,0.8723522854524893,0.08036733185641644,0.8391242943948868,0.005862271815266951,0.4828224379565502,0.019483613470742008,0.4329257929356697,179.99999984083593,0.7605883406687801
30,35,1.9362810143651663,0.8421729630363767,0.08804937117017325,0.9876299749051946,0.007006240608431129,0.32144513726827034,0.02017438022332535,0.3927778469351211,179.99999985113615,0.8064574805233689
31,36,2.085133195749733,0.9998314940400163,0.09405350662506158,0.7582248903073687,0.007410752867490527,0.2715002936791964,0.019506519169983805,0.4315771505446194,179.99999983182627,0.7147664538615747
32,37,2.0575151844862725,0.9923781642217699,0.09742145739492981,0.5624222413382065,0.007539596278483446,0.2566542828284648,0.020639406986194608,0.36651001038101017,179.99999981759674,0.632725497832505
33,38,1.9577554868842515,0.8806320795478709,0.10308735109220091,0.26659465197220517,0.007760595509012908,0.23245701716591735,0.022767251577877932,0.2577445498375537,179.9999997524826,0.2367124705768608
34,39,1.9155404168955255,0.8015022282470091,0.10303423325266509,0.2688487930501727,0.007199877610382554,0.2969279465536439,0.02169887962861775,0.30972529680740213,179.99999975444732,0.24618754302902202
35,40,1.9712029049918514,0.9025162361213146,0.09983963787594358,0.4245688404013434,0.006990383504527728,0.32349967780977323,0.02109948569646945,0.34127915260084196,179.99999977572188,0.3638238362486344
36,41,1.9331955326100958,0.8363257118244158,0.08555755893013556,0.9963502214262683,0.005410082889076863,0.5496908459923682,0.016482797792806224,0.6106446767242868,179.9999997614923,0.2822095838777114
37,42,1.7709432809685517,0.47698935506172946,0.08399216159500895,0.9719925530167833,0.004603641125568493,0.6632164859720707,0.015424552819663524,0.6690549541299751,179.99999977409425,0.3539622581695626
38,43,1.5885263090307966,0.16058427625003704,0.07924075636776214,0.7814575954007819,0.004517849569194727,0.6744842762069051,0.014917993473722418,0.6953911646925578,179.99999978554533,0.4255293893848748
39,44,1.7047250059140102,0.3397710632079181,0.0756946692163195,0.577133061552062,0.0037146812585988104,0.7693839322181207,0.013396333281745587,0.7668337370790232,179.9999998154924,0.6197556850523129
40,45,1.8883532028218373,0.7440635874502516,0.06713634330718836,0.16949066215933542,0.0028031638107730364,0.8513701122300672,0.012961227798994009,0.7849766661095138,179.9999997984844,0.5101542340807343
41,46,1.7634826188923114,0.46056945072245664,0.07770459102940619,0.6954646849799645,0.004001671815743918,0.7378151411775387,0.014568779662560998,0.7128422439425164,179.99999978784714,0.44040985217118733
42,47,1.5988544269153422,0.17301647749392074,0.09005886460358681,0.9392706838534729,0.004802287701357291,0.6364198935167166,0.016162967484226225,0.6287260953889392,179.99999976216648,0.2858198609802136
43,48,1.6743715987021324,0.2847053534268517,0.08257437322573635,0.9314765448456472,0.004497182274486995,0.6771694144798255,0.015923092083009748,0.6420575709409813,179.9999997803254,0.392318568915069
44,49,1.7533774519231038,0.4386601622880293,0.08417371647875728,0.9759548221182632,0.0043697678448630685,0.6934617711944948,0.015189017974573754,0.6814454950584525,179.99999977083905,0.3346139434078785
45,50,1.7349867848967877,0.3998989912910318,0.07783474081014045,0.7029808403096944,0.004086810965725341,0.7279316648006221,0.015692169534331397,0.65468746441755,179.9999997862155,0.4298492338067023
46,51,1.7144730881587158,0.35860222398258035,0.07535502017130165,0.5571039320805315,0.003976840251605657,0.7406537502395019,0.015369068627633651,0.6719957531894668,179.99999979095867,0.46069128724517233
47,52,1.86456218894217,0.691063595486872,0.06225137735808428,0.06158439199495289,0.003458209678012728,0.7952602356565385,0.014424074658515022,0.7198959595769204,179.99999979488805,0.4864824130985088
48,53,1.9001340780300986,0.769444880849176,0.05150813381310566,0.0029850590665901834,0.0027516036372194387,0.8551978028409435,0.013032122778848966,0.7820918472425508,179.99999979373717,0.4789148098792847
49,54,1.7805217888943838,0.49833946138789287,0.04355726228772513,0.00015646452863516186,0.002084734327991103,0.8976547622237268,0.010914288227034628,0.8564365412403774,179.99999978032145,0.3922937666233481
50,55,1.797054458030729,0.5357774700127744,0.053380365454411154,0.00547540274967697,0.0036130224023235152,0.7799065683125558,0.011984343033501538,0.821900756977944,179.99999977557823,0.36294875847185837
51,56,1.7493293534135157,0.4299993347025062,0.0664705568532695,0.14963603668031775,0.00518740355509674,0.5821184414383691,0.011623824169558344,0.8342113941822772,179.9999997574233,0.2610187083635452
52,57,1.8542522260082102,0.6675749667938096,0.07052818275492252,0.29944421902676327,0.005304541613702086,0.5651303776962743,0.011492513382778855,0.8385226914143552,179.99999973221938,0.15389140716039107
53,58,1.9732682225005738,0.905714038074018,0.068744627236905,0.22505188033974557,0.004329114619367103,0.6985625064295565,0.009929069145477531,0.8831262506874243,179.99999970030754,0.07277883722766186
